G_id,concern,module_path,fan_in,fan_out,betweenness
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/types.py,198,5,0.12
G16,v5 governance plane,agentic_core/L5_safety/v5/types.py,103,2,0.03
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/ssot.py,80,18,0.18
G02,Layered guardrail banks (client+agent),agentic_core/L5_safety/adapters/human_approval_adapter.py,50,9,0.06
G02,Client-side guardrail bank,agentic_core/L5_safety/enforcement/ingress_envelope_check.py,49,44,0.26
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/base.py,48,8,0.05
G16,v5 governance plane,agentic_core/L5_safety/v5/contracts.py,44,33,0.18
G04,End-user identity propagation,agentic_core/L5_safety/identity/registries.py,39,11,0.05
G04,End-user identity propagation,agentic_core/L5_safety/identity/guardrail_bank.py,38,8,0.04
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/escalation/human_escalation.py,36,87,0.38
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/exit_control/hitl_classes.py,33,3,0.01
G04,End-user identity propagation,agentic_core/L5_safety/identity/principal_verifier.py,29,9,0.03
G04,End-user identity propagation,agentic_core/L5_safety/identity/front_door_resolver.py,27,5,0.02
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/dispatch.py,27,5,0.02
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/otel_spans.py,27,9,0.03
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/FileClassificationAgent.py,26,157,0.50
G10,Policy plane,agentic_core/L5_safety/exit_control/hitl_policy.py,24,8,0.02
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/_constants.py,23,71,0.20
G16,v5 governance plane,agentic_core/L5_safety/v5/otel_spans.py,23,8,0.02
G04,End-user identity propagation,agentic_core/L5_safety/identity/runtime_entry_sweep.py,22,16,0.04
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/base_detector_validator.py,22,92,0.25
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/exit_decision.py,21,10,0.03
G04,End-user identity propagation,agentic_core/L5_safety/identity/runtime_rails.py,21,9,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl/hitl_escalation_activator.py,19,89,0.21
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl/hitl_graph.py,18,74,0.16
G04,End-user identity propagation,agentic_core/L5_safety/identity/data_authority_loader.py,18,7,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/hierarchy_healer.py,16,127,0.25
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/derived.py,15,85,0.16
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/safety_audit_registry.py,15,22,0.04
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/escalation/escalation_orchestrator.py,15,73,0.13
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/rejection_response.py,15,8,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/archival_gatekeeper_gate.py,14,28,0.05
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/circuit_breaker_gate.py,14,12,0.02
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/orchestrator.py,14,19,0.03
G02,Layered guardrail banks (client+agent),agentic_core/L5_safety/adapters/notion_approval_adapter.py,13,12,0.02
G02,Layered guardrail banks (client+agent),agentic_core/L5_safety/adapters/orkes_approval_adapter.py,13,10,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/exit_eval.py,13,33,0.05
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/trace_grader.py,13,9,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeHealerAgent.py,13,109,0.17
G04,End-user identity propagation,agentic_core/L5_safety/identity/registry_loader.py,12,10,0.01
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/ctx_builders.py,12,5,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/config/structure_enforcement_util.py,11,14,0.02
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/safety_audit_emitter.py,11,13,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl_gate.py,11,85,0.11
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/core_kernel/classification_kernel.py,11,21,0.03
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/location_validator.py,11,126,0.17
G02,Layered guardrail banks (client+agent),agentic_core/L5_safety/adapters/slack_approval_adapter.py,10,11,0.01
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/territories.py,10,80,0.10
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/adg_hitl_enricher.py,10,5,0.01
G04,End-user identity propagation,agentic_core/L5_safety/enforcement/identity_verifier.py,10,9,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/registry_verification_enforcer.py,10,97,0.12
G04,End-user identity propagation,agentic_core/L5_safety/identity/audit_binding_lane.py,10,10,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ArchitectureGovernorAgent.py,10,116,0.14
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/baseline_registry.py,10,9,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/canonical_truth_validator.py,10,2,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/rate_limit.py,9,8,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/budget_envelope.py,9,7,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/location_healer_util.py,9,142,0.16
G08,Output-side AI firewall,agentic_core/L5_safety/v5/egress_receipts.py,9,5,0.01
G02,Client-side guardrail bank,agentic_core/L5_safety/enforcement/ingress_telemetry.py,8,8,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/payload_normalizer.py,8,4,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/guardrail_adapter.py,8,8,0.01
G04,End-user identity propagation,agentic_core/L5_safety/identity/pre_l5_sweep.py,8,12,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GravityLeakRepairAgent.py,8,99,0.10
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/layer_invocation_map.py,8,3,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/fca_safety_gates_util.py,8,89,0.09
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/input_safety_screen.py,7,6,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CognitiveDispositionAgent.py,7,90,0.08
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/filesystem_ssot_reconciler.py,7,112,0.10
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/digest.py,7,6,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/governance_spans.py,7,6,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/hitl_receipts.py,7,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/report_location_validator.py,7,89,0.08
G02,Approval adapters (HITL channels),agentic_core/L5_safety/adapters/email_magic_link_adapter.py,6,12,0.01
G10,Policy plane,agentic_core/L5_safety/enforcement/policy_action_contract.py,6,77,0.06
G04,End-user identity propagation,agentic_core/L5_safety/identity/egress_adapter_gated.py,6,9,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/StructuralValidatorAgent.py,6,94,0.07
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_deduplication_util.py,6,11,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_validator_util.py,6,12,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/bridges.py,6,12,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/g0_entry.py,6,9,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/runtime_binding.py,6,10,0.01
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/classification.py,5,87,0.05
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl/decision_logger.py,5,85,0.05
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/safe_subprocess_handler_enforcer.py,5,84,0.05
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/escalation_packet.py,5,17,0.01
G04,End-user identity propagation,agentic_core/L5_safety/identity/action_pipeline.py,5,15,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/PascalSovereigntyAgent.py,5,101,0.06
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/mesh_result.py,5,11,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_enforcer_util.py,5,14,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_janitor_util.py,5,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/credential_scanner_util.py,5,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/location_constants_util.py,5,62,0.04
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/subprocess_security_util.py,5,84,0.05
G16,v5 governance plane,agentic_core/L5_safety/v5/static_drift.py,5,5,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/audit/safety_audit_emitter.py,4,9,0.00
G03,Risk-tier proportionate enforcement,agentic_core/L5_safety/config/severity.py,4,4,0.00
G07,Capability token TTL & single-use,agentic_core/L5_safety/enforcement/capability_token_rotation.py,4,4,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/replay_cache.py,4,6,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/kill_switch.py,4,10,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/shadow_observer.py,4,15,0.01
G04,End-user identity propagation,agentic_core/L5_safety/identity/audit_binding.py,4,11,0.01
G04,End-user identity propagation,agentic_core/L5_safety/identity/write_adapter.py,4,7,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/write_adapter_gated.py,4,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/NamingAgent.py,4,84,0.04
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/file_classification/classification_core.py,4,13,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/hitl_calibration.py,4,5,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/enforcement.py,4,10,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_formatter_util.py,4,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/complexity_analyzer_util.py,4,9,0.00
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/yaml_loader.py,3,3,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/_vocab.py,3,2,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/exit_control_gate.py,3,42,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance_consistency_gate.py,3,8,0.00
G10,Policy plane,agentic_core/L5_safety/enforcement/policy_enforcement_point.py,3,85,0.03
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/process_guardrail.py,3,83,0.03
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/verification_gate.py,3,84,0.03
G12,Enforcement chokepoint,agentic_core/L5_safety/eval_spine/enforcement_bridge.py,3,6,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/llm_gateway_v4.py,3,11,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/runtime_entry.py,3,16,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GovernanceAgent.py,3,109,0.04
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/StructureEnforcerAgent.py,3,89,0.03
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/root_hygiene_healer.py,3,108,0.04
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/otel_feed.py,3,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/architecture_governor_validator_util.py,3,6,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/benchmarking_util.py,3,11,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/bootstrap_util.py,3,6,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_detector_util.py,3,15,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/dependency_pruning_util.py,3,12,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/guardrail_registry.py,3,7,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/v5/replay_audit.py,3,10,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/risk_tier_controls.py,3,9,0.00
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/artifacts.py,2,89,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/activation_gate.py,2,13,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/human_review_queue.py,2,11,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/credential_guard.py,2,2,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl/patch_validator.py,2,86,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/mission_utils_enforcer.py,2,79,0.02
