metric_id,metric_name,category,semantic_domain,corpus_source,measurement_phase,obligation_type,threshold_target,collection_frequency,downstream_action_if_below,required_artifact,owner_layer,required_for_promotion,req_id_refs,canonical_owner_surface,threshold_operator,threshold_value,threshold_unit,threshold_window,threshold_scope,otel_span_expected,metric_artifact_expected,acceptance_command,ci_gate_name,proof_bundle_ref,last_passed_commit,external_proof_pack_ref,harmonization_notes
MET-10C-001,Recall@K,retrieval_quality,A. Offline ingestion and retrieval substrate,00_ingestion_pipeline_index_build.md,post_ingestion,mandatory,>0.90@K=5,per_batch,reindex_trigger_embedding_tuning,index_evaluation_report,knowledge/ingestion,yes,10C-REQ-009 10C-REQ-021,Offline_Ingestion_Index_Build,>,0.90,at-K,@K=5,@K=5,ingest.metric.emitted,index_evaluation_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_001.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-001_proof_bundle.json,,,
MET-10C-002,NDCG,retrieval_quality,A. Offline ingestion and retrieval substrate,00_ingestion_pipeline_index_build.md,post_ingestion,mandatory,>0.85,per_batch,reindex_trigger_chunking_review,index_evaluation_report,knowledge/ingestion,yes,10C-REQ-009 10C-REQ-021,Offline_Ingestion_Index_Build,>,0.85,,,,ingest.metric.emitted,index_evaluation_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_002.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-002_proof_bundle.json,,,
MET-10C-003,MRR,retrieval_quality,A. Offline ingestion and retrieval substrate,00_ingestion_pipeline_index_build.md,post_ingestion,mandatory,>0.80,per_batch,reindex_trigger_chunking_review,index_evaluation_report,knowledge/ingestion,no,10C-REQ-009 10C-REQ-021,Offline_Ingestion_Index_Build,>,0.80,,,,ingest.metric.emitted,index_evaluation_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_003.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-003_proof_bundle.json,,,
MET-10C-004,citation_precision,grounding_quality,C. Runtime layers and sovereignty,03_Route_Decision_Switching.md,per_execution,monitoring,>0.95,per_query,escalate_to_human_review_if<0.80,evidence_contract,C0/knowledge,yes,10C-REQ-009 10C-REQ-034 10C-REQ-035,03A_C0_Context_Engine,>,0.95,,,,c0.metric.emitted,evidence_contract,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_004.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-004_proof_bundle.json,,,
MET-10C-005,citation_support_rate,grounding_quality,C. Runtime layers and sovereignty,00D_sparse_index_hybrid_merge.md,per_execution,monitoring,>0.90,per_query,flag_for_reindex_if_sustained_low,support_scoring,C0/knowledge,yes,10C-REQ-034 10C-REQ-045,03A_C0_Context_Engine,>,0.90,,,,c0.metric.emitted,support_scoring,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_005.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-005_proof_bundle.json,,,
MET-10C-006,support_score,coverage_quality,C. Runtime layers and sovereignty,C5_Retrieval_Prompt_Assembly.md,per_execution,mandatory,>0.70,per_query,abstain_or_clarify_if<0.50,evidence_contract,C0/knowledge,yes,10C-REQ-034 10C-REQ-048 10C-REQ-088,03A_C0_Context_Engine,>,0.70,,,,c0.metric.emitted,evidence_contract,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_006.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-006_proof_bundle.json,,,
MET-10C-007,drift_detection_staleness,maintenance_health,A. Offline ingestion and retrieval substrate,00_ingestion_pipeline_index_build.md,continuous,alerting,<0.10_false_positive_rate,continuous,reindex_trigger_drift_analysis,drift_detector,knowledge/lifecycle,no,10C-REQ-003,Offline_Ingestion_Index_Build,<,0.10,,,false_positive_rate,ingest.metric.emitted,drift_detector,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_007.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-007_proof_bundle.json,,,
MET-10C-008,reindex_trigger_accuracy,maintenance_health,A. Offline ingestion and retrieval substrate,00_ingestion_pipeline_index_build.md,per_reindex,diagnostic,>0.95_precision,per_reindex,tune_trigger_thresholds,reindex_log,knowledge/lifecycle,no,10C-REQ-003 10C-REQ-009,Offline_Ingestion_Index_Build,>,0.95,,,precision,ingest.metric.emitted,reindex_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_008.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-008_proof_bundle.json,,,
MET-10C-009,exit_disposition_accuracy,control_quality,D. Governance / capability / replay / observability,05_Live_Runtime_Exit_Control.md,per_execution,mandatory,>0.99_allow_rate_for_allowed_requests,per_execution,investigate_false_allows,exit_gate_log,L5 exit control,yes,10C-REQ-095 10C-REQ-096 10C-REQ-097 10C-REQ-098 10C-REQ-099,05_Exit_Evaluation_and_Control,>,0.99,,,allow_rate_for_allowed_requests,exit.metric.emitted,exit_gate_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_009.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-009_proof_bundle.json,,,
MET-10C-010,HITL_escalation_rate,control_quality,D. Governance / capability / replay / observability,05_Live_Runtime_Exit_Control.md,per_execution,monitoring,<0.05_escalation_rate,per_day,review_policy_thresholds,hitl_log,L5/HITL,no,10C-REQ-100 10C-REQ-101 10C-REQ-102 10C-REQ-103,00A_L5_Governance_Safety,<,0.05,,,escalation_rate,l5.metric.emitted,hitl_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_010.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-010_proof_bundle.json,,,
MET-10C-011,policy_violation_detection,security,D. Governance / capability / replay / observability,C0_Governance_Safety_Enforcement.md,per_execution,mandatory,>0.999_detection_rate,per_execution,immediate_escalation_and_freeze,policy_chokepoint,C0 governance,yes,10C-REQ-110 10C-REQ-111 10C-REQ-112 10C-REQ-113 10C-REQ-114 10C-REQ-115 10C-REQ-116,00A_L5_Governance_Safety,>,0.999,,,detection_rate,l5.metric.emitted,policy_chokepoint,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_011.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-011_proof_bundle.json,,,
MET-10C-012,replay_digest_stability,integrity,D. Governance / capability / replay / observability,C1_Deterministic_Replay_Execution_Integrity.md,per_replay,mandatory,100%_same_input_same_digest,per_replay,investigate_determinism_violation,determinism_digest,C1/L6,yes,10C-REQ-117 10C-REQ-118 10C-REQ-119 10C-REQ-120 10C-REQ-121,Cross_Cutting_Observability_Replay_Audit,=,100,percent,per_replay,deterministic_hash_match,obs.metric.emitted,determinism_digest,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_012.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-012_proof_bundle.json,,,
MET-10C-013,heal_success_rate,reliability,C. Runtime layers and sovereignty,C3_Healing_Remediation_Escalation.md,per_heal_attempt,monitoring,>0.70_local>0.50_tiered,per_heal,escalate_tier_routing_thresholds,heal_loop_log,L3 healing,no,10C-REQ-135 10C-REQ-136 10C-REQ-137,03_L3_Orchestration,>,0.70,,,local>0.50_tiered,l3.metric.emitted,heal_loop_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_013.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-013_proof_bundle.json,,,
MET-10C-014,zero_loss_containment,reliability,D. Governance / capability / replay / observability,C3_Healing_Remediation_Escalation.md,per_failure,mandatory,100%_no_data_loss,per_failure,emergency_response_protocol,containment_log,L3/L5,yes,10C-REQ-140,03_L3_Orchestration,=,100,percent,per_failure,no_data_loss,l3.metric.emitted,containment_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_014.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-014_proof_bundle.json,,,
MET-10C-015,token_budget_efficiency,efficiency,C. Runtime layers and sovereignty,03_Route_Decision_Switching.md,per_execution,optimization,<0.10_waste_rate,per_execution,optimize_prompt_assembly,token_budgeter,prompt assembly,no,10C-REQ-087 10C-REQ-088,03B_PA_Prompt_Assembly,<,0.10,,,waste_rate,pa.metric.emitted,token_budgeter,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_015.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-015_proof_bundle.json,,,
MET-10C-016,trajectory_integrity,process_quality,E. Metrics / evaluation / promotion,06_Shadow_Evaluation_System_Learning.md,per_trajectory,diagnostic,>0.85,per_execution,flag_for_investigation,trajectory_eval,L6 shadow eval,yes,10C-REQ-104 10C-REQ-105 10C-REQ-106 10C-REQ-107 10C-REQ-108,06_L6_Shadow_Evaluation_System_Learning,>,0.85,,,,l6.metric.emitted,trajectory_eval,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_016.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-016_proof_bundle.json,,,
MET-10C-017,governance_regression_count,maintenance_health,E. Metrics / evaluation / promotion,C2_Observability_Telemetry_Control_Signals.md,continuous,alerting,0_regressions_per_week,weekly,trigger_gauntlet_promotion_block,regression_detector,C2/L6,yes,10C-REQ-108 10C-REQ-128 10C-REQ-129 10C-REQ-130 10C-REQ-131,Cross_Cutting_Observability_Replay_Audit,>=,0,,,regressions_per_week,obs.metric.emitted,regression_detector,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_017.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-017_proof_bundle.json,,,
MET-10C-018,SME_calibration_alignment,accuracy,E. Metrics / evaluation / promotion,C2_Observability_Telemetry_Control_Signals.md,per_calibration,mandatory,>0.90_agreement_rate,per_calibration,retrain_automated_graders,calibration_log,C2/L6,yes,10C-REQ-109,Cross_Cutting_Observability_Replay_Audit,>,0.90,,,agreement_rate,obs.metric.emitted,calibration_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_018.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-018_proof_bundle.json,,,
MET-10C-019,promotion_readiness_score,quality_gate,D. Governance / capability / replay / observability,C6_Evaluation_Learning_Promotion_System.md,per_promotion,mandatory,>0.95,per_promotion,block_promotion_return_to_drafting,promotion_readiness_report,C6/L5,yes,10C-REQ-146 10C-REQ-147 10C-REQ-148 10C-REQ-149 10C-REQ-150 10C-REQ-151 10C-REQ-152 10C-REQ-153 10C-REQ-154,06_L6_Shadow_Evaluation_System_Learning,>,0.95,,,,l6.metric.emitted,promotion_readiness_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_019.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-019_proof_bundle.json,,,
MET-10C-020,shadow_vs_live_discrepancy,consistency,E. Metrics / evaluation / promotion,C6_Evaluation_Learning_Promotion_System.md,per_evaluation,diagnostic,<0.05_discrepancy_rate,per_evaluation,investigate_grading_drift,shadow_eval_report,L6,no,10C-REQ-104 10C-REQ-150 10C-REQ-151,06_L6_Shadow_Evaluation_System_Learning,<,0.05,,,discrepancy_rate,l6.metric.emitted,shadow_eval_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_020.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-020_proof_bundle.json,,,
MET-10C-021,UWG_commit_latency,performance,D. Governance / capability / replay / observability,C4_State_Sovereignty_Universal_Write_Governance.md,per_commit,SLA,<500ms_p99,per_commit,scale_uwg_infrastructure,commit_log,L4/UWG,no,10C-REQ-122 10C-REQ-123 10C-REQ-126,00B_L4_State_Archive_and_UWG,<,500,milliseconds,p99,ms_p99,uwg.metric.emitted,commit_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_021.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-021_proof_bundle.json,,,
MET-10C-022,hash_chain_integrity,integrity,D. Governance / capability / replay / observability,C4_State_Sovereignty_Universal_Write_Governance.md,per_commit,mandatory,100%_verifiable_chain,per_commit,emergency_audit_response,hash_chain,C4/L4,yes,10C-REQ-122 10C-REQ-123 10C-REQ-126,00B_L4_State_Archive_and_UWG,=,100,percent,per_commit,hash_chain_continuity,uwg.metric.emitted,hash_chain,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_022.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-022_proof_bundle.json,,,
MET-10C-023,capability_token_validity,security,D. Governance / capability / replay / observability,C7_Capability_Tool_Model_Access_Control_Plane.md,per_invocation,mandatory,100%_valid_or_reject,per_invocation,block_and_audit,capability_validator,C7,yes,10C-REQ-155 10C-REQ-156 10C-REQ-157 10C-REQ-158 10C-REQ-159 10C-REQ-160 10C-REQ-161,00A_L5_Governance_Safety,=,100,percent,per_invocation,validity_or_reject,l5.metric.emitted,capability_validator,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_023.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-023_proof_bundle.json,,,
MET-10C-024,dense_sparse_recall_balance,retrieval_quality,A. Offline ingestion and retrieval substrate,00D_sparse_index_hybrid_merge.md,per_query,optimization,0.3-0.7_ratio,per_query,tune_hybrid_merge_weights,hybrid_merge_log,C0,no,10C-REQ-045 10C-REQ-046,03A_C0_Context_Engine,range,0.3-0.7,ratio,per_query,dense_sparse_balance,c0.metric.emitted,hybrid_merge_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_024.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-024_proof_bundle.json,,,
MET-10C-025,contradiction_retention_rate,grounding_quality,C. Runtime layers and sovereignty,C5_Retrieval_Prompt_Assembly.md,per_execution,monitoring,>0.95_retained_when_present,per_query,review_evidence_shaping,contradiction_log,C0,no,10C-REQ-034,03A_C0_Context_Engine,>,0.95,hours,,retained_when_present,c0.metric.emitted,contradiction_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_025.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-025_proof_bundle.json,,,
MET-10C-026,chunking_boundary_quality,retrieval_quality,A. Offline ingestion and retrieval substrate,00A_ingestion_embedding_implementation.md,post_chunking,diagnostic,>0.80_semantic_coherence,per_chunk,retune_chunking_strategy,chunk_boundary_eval,knowledge/chunking,no,10C-REQ-013 10C-REQ-014,Offline_Ingestion_Index_Build,>,0.80,hours,,semantic_coherence,ingest.metric.emitted,chunk_boundary_eval,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_026.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-026_proof_bundle.json,,,
MET-10C-027,embedding_cosine_friendly,retrieval_quality,A. Offline ingestion and retrieval substrate,00B_token_vector_mechanics.md,post_embedding,diagnostic,L2_normalized_vectors,per_batch,fix_normalization_pipeline,embedding_quality_report,knowledge/embedding,yes,10C-REQ-027 10C-REQ-028,Offline_Ingestion_Index_Build,=,L2,norm,per_batch,embedding_norm_check,ingest.metric.emitted,embedding_quality_report,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_027.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-027_proof_bundle.json,,,
MET-10C-028,router_cache_hit_rate,efficiency,C. Runtime layers and sovereignty,03_Route_Decision_Switching.md,continuous,optimization,>0.30_hit_rate,hourly,tune_cache_keys,cache_metrics,L0 routing,no,10C-REQ-076 10C-REQ-077,03_L0_Route_Decision,>,0.30,hours,,hit_rate,l0.metric.emitted,cache_metrics,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_028.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-028_proof_bundle.json,,,
MET-10C-029,routing_decision_latency,performance,C. Runtime layers and sovereignty,03_Route_Decision_Switching.md,per_execution,SLA,<10ms_p99,per_execution,optimize_pre_routing_gate,route_latency_log,L0 routing,no,10C-REQ-076 10C-REQ-077 10C-REQ-078 10C-REQ-079 10C-REQ-080,03_L0_Route_Decision,<,10,milliseconds,p99,ms_p99,l0.metric.emitted,route_latency_log,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_029.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-029_proof_bundle.json,,,
MET-10C-030,execute_result_classifier_accuracy,reliability,C. Runtime layers and sovereignty,04_Live_Task_Dispatch_Execution.md,per_execution,mandatory,>0.95_classifier_accuracy,per_execution,investigate_misclassification,result_classifier,L2,yes,10C-REQ-092 10C-REQ-093 10C-REQ-094,04_L2_Execute,>,0.95,,,classifier_accuracy,l2.metric.emitted,result_classifier,python -m pytest tests/unit/agentic_core/L6_observability/metrics/test_met_10c_030.py -v --no-header,ops_scripts/ci/check_metric_obligation_proof.py,artifacts/proof/met-10c-030_proof_bundle.json,,,
