req_id,requirement_group,requirement_title,owner_layer,owner_component,requirement_text,claim_type,required_proof_depth,runtime_sensitive,side_effect_sensitive,required_artifacts,required_positive_evidence,required_negative_controls,acceptance_rule,fail_closed_if_missing,required_ci_gate,required_matrix_columns,runtime_claim_allowed_rule,final_acceptance_status_rule,notes,best_practice_basis,best_practice_gap_closed,implementation_target_files,verifier_target_files,required_output_artifacts,positive_assertions_to_implement,negative_assertions_to_implement,downgrade_rule,priority,implementation_wave,windsurf_acceptance_command,current_known_status
RTC-REQ-001,Matrix Governance,Canonical requirement universe declared,00X / Certification,Requirement compiler,The certification run MUST declare one canonical requirement universe and count before evaluating any row.,STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,canonical_universe_manifest; requirement_count_receipt,"Universe source, expected count, actual count, duplicate list, missing list, extra list are emitted.",Missing universe; duplicate IDs; extra IDs; missing IDs.,ACCEPTED only when expected count equals actual distinct count and no duplicate/missing/extra IDs exist.,Block with REQUIREMENT_UNIVERSE_MISMATCH.,verify_runtime_certification_matrix.py,req_id; requirement_text; owner_layer; claim_type; required_proof_depth; actual_proof_depth; final_acceptance_status,false for inventory-only rows,ACCEPTED illegal if canonical universe is unset,Prevents 150 vs 198 vs 200 drift.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_001.py,scripts/verify_rtc_req_001.py,canonical_universe_manifest; requirement_count_receipt,"Universe source, expected count, actual count, duplicate list, missing list, extra list are emitted.",Missing universe; duplicate IDs; extra IDs; missing IDs.,"Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-002,Matrix Governance,Proof depth fields mandatory,00X / Certification,Requirement matrix schema,"Every requirement row MUST include required_proof_depth, actual_proof_depth, proof_depth_status, proof_classification, runtime_claim_allowed, final_acceptance_status, acceptance_caveat, and blocking_gap.",STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,schema_validation_report,Schema validator confirms all proof-depth columns exist and are populated according to status rules.,Missing any proof-depth field; invalid enum; empty caveat on PARTIAL/BLOCKED.,ACCEPTED only when all required proof-depth fields are present and valid.,Block with MATRIX_SCHEMA_GAP.,verify_runtime_certification_matrix_schema.py,required_proof_depth; actual_proof_depth; proof_depth_status; proof_classification; runtime_claim_allowed; final_acceptance_status; acceptance_caveat; blocking_gap,runtime_claim_allowed must be explicit,ACCEPTED illegal when status fields are incomplete,Core anti-greenwashing row.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_002.py,scripts/verify_rtc_req_002.py,schema_validation_report,Schema validator confirms all proof-depth columns exist and are populated according to status rules.,Missing any proof-depth field; invalid enum; empty caveat on PARTIAL/BLOCKED.,"Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-003,Matrix Governance,Claim type enum enforced,00X / Certification,Requirement matrix schema,"Every row MUST use an allowed claim_type: DOC_REFERENCE_ONLY, STATIC_CONTRACT, STATIC_ENFORCEMENT, COMPONENT_RUNTIME, COMPOSITION_RUNTIME, INTEGRATED_RUNTIME, OBSERVABILITY_RUNTIME, REPLAY_RUNTIME, NO_BYPASS_RUNTIME, PRODUCTION_DEPENDENCY_RUNTIME.",STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,claim_type_validation_report,Validator confirms all claim_type values are from the allowed enum.,Unknown claim_type; blank claim_type; mixed claim types without subclaim rows.,ACCEPTED only when claim_type is valid and compatible with required_proof_depth.,Block with INVALID_CLAIM_TYPE.,verify_runtime_certification_matrix_schema.py,claim_type; subclaim_id; required_proof_depth,runtime_claim_allowed based on claim_type/depth,ACCEPTED illegal with invalid claim_type,Allows separate proof classes instead of one vague PASS.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_003.py,scripts/verify_rtc_req_003.py,claim_type_validation_report,Validator confirms all claim_type values are from the allowed enum.,Unknown claim_type; blank claim_type; mixed claim types without subclaim rows.,"Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-004,Matrix Governance,Acceptance legality rule,00X / Certification,Acceptance validator,The gate MUST fail if final_acceptance_status=ACCEPTED while actual_proof_depth is lower than required_proof_depth.,STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,acceptance_legality_report,Validator compares required_proof_depth rank against actual_proof_depth rank for every accepted row.,ACCEPTED row with weaker actual proof; runtime row accepted on static evidence; observability row accepted on in-memory spans.,ACCEPTED only when actual_proof_depth >= required_proof_depth and all required subclaims pass.,Block with ACCEPTANCE_DEPTH_MISMATCH.,verify_runtime_certification_acceptance.py,required_proof_depth; actual_proof_depth; proof_depth_status; final_acceptance_status,false if proof depth is insufficient,ACCEPTED illegal on weaker evidence,Most important rule.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_004.py,scripts/verify_rtc_req_004.py,acceptance_legality_report,Validator compares required_proof_depth rank against actual_proof_depth rank for every accepted row.,ACCEPTED row with weaker actual proof; runtime row accepted on static evidence; observability row accepted on in-memory spans.,"Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-005,Matrix Governance,Reference-only rows cannot claim runtime,00X / Certification,Acceptance validator,DOC_REFERENCE_ONLY rows MUST have runtime_claim_allowed=false and MUST NOT count toward runtime certification.,STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,reference_only_policy_report,"Reference-only policy lists all rows and confirms no runtime artifacts, replay claims, or OTEL claims are attached.",Reference-only row with runtime proof claim; fake replay refs; fake OTEL refs.,"ACCEPTED allowed only as reference integrity, not runtime proof.",Block with REFERENCE_RUNTIME_CLAIM.,verify_runtime_certification_acceptance.py,claim_type; runtime_claim_allowed; acceptance_caveat,must be false,ACCEPTED only with caveat explaining no runtime claim,Prevents explanatory rows from inflating runtime proof.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_005.py,scripts/verify_rtc_req_005.py,reference_only_policy_report,"Reference-only policy lists all rows and confirms no runtime artifacts, replay claims, or OTEL claims are attached.",Reference-only row with runtime proof claim; fake replay refs; fake OTEL refs.,"Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-006,Matrix Governance,Subclaim decomposition mandatory,00X / Certification,Requirement compiler,Any requirement with multiple proof obligations MUST be decomposed into subclaim rows or subclaim status columns.,STATIC_ENFORCEMENT,E2_STATIC_CHECK,false,false,subclaim_decomposition_report,Compiler identifies multi-obligation requirements and confirms subclaim representation exists.,"Single row hides model, threshold, tenant, freshness, OTEL, replay, or integrated runtime gaps.",ACCEPTED only when all required subclaims are SATISFIED.,Block with SUBCLAIM_UNDECOMPOSED.,verify_runtime_certification_subclaims.py,req_id; subclaim_id; subclaim_status; blocking_gap,false unless all runtime subclaims pass,ACCEPTED illegal if any required subclaim is PARTIAL/BLOCKED/NOT_PROVEN,Semantic cache depends on this.,Proof-depth certification best practice: evidence type must match claim type.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/prove_requirements/*; tests/runtime/test_rtc_req_006.py,scripts/verify_rtc_req_006.py,subclaim_decomposition_report,Compiler identifies multi-obligation requirements and confirms subclaim representation exists.,"Single row hides model, threshold, tenant, freshness, OTEL, replay, or integrated runtime gaps.","Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W0-certification-source-of-truth,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,
RTC-REQ-010,Runtime Chain,Integrated runtime entry point required,U0-L6 / Runtime,Production runtime entrypoint,"Integrated runtime proof MUST be driven by a single production runtime entry point, not by a harness calling layer components one by one.",INTEGRATED_RUNTIME,E6_INTEGRATED_RUNTIME_PROOF,true,false,ValidatedRequest; L1PlanContract; RouteContract_or_TerminalRoutePacket; RuntimeGateVerdictBundle; FinalEvidenceContract_when_grounded; CompiledPromptArtifact_when_model_called; SealedL2Artifact_when_L2_executes; TerminalRetPacket_when_short_circuit; ExitReviewPacket; X1VerdictBundle; X3DispositionReceipt; RuntimeExhaustBundle; OTELSpanTree; ReplayReceipt_when_claimed; NoBypassReceipt,One production API/CLI/function receives request and naturally emits full artifact chain.,Harness sequences layer components and labels it integrated; missing entrypoint; manually stamped artifacts.,INTEGRATED_RUNTIME_PROOF accepted only when integrated_runtime_entrypoint_used=true and artifacts are producer-owned.,Block with INTEGRATED_ENTRYPOINT_MISSING.,verify_integrated_runtime_entrypoint.py,integrated_runtime_entrypoint_used; producer_component; upstream_artifact_ref,true only when entrypoint is production-owned,ACCEPTED illegal for composition harness,Composition proof is not integrated proof.,99 E2E proof bundle minimum standard and composition-vs-integrated proof distinction.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/*; agentic_core/L0_routing/*; agentic_core/L3_orchestration/exit_eval/v6/*; scripts/proof/*,scripts/verify_rtc_req_010.py,runtime_certification_report.md; integrated_runtime_bundle.json; artifact_manifest.json; no_bypass_receipt.json,Assert full 99 proof bundle minimum artifact set and producer-owned provenance chain.,"Must include missing artifact, wrong producer, missing upstream ref, no Exit, multiple X3, composition labelled integrated.","Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W2-integrated-runtime-entrypoint,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,Known current state: composition proof exists; integrated runtime entrypoint BLOCKED.
RTC-REQ-011,Runtime Chain,Harness observes only,99 / Proof Harness,Proof harness,"Proof harnesses MAY observe artifacts but MUST NOT stamp, synthesize, or invent production runtime artifacts.",NO_BYPASS_RUNTIME,E4_NEGATIVE_CONTROL,true,false,provenance_chain; no_harness_stamp_receipt,Every artifact has producer_module under production source and upstream_artifact_ref chaining to prior artifact.,producer_module points to script/proof; missing upstream ref; synthetic artifact hash; harness-only class.,ACCEPTED only when all production artifacts are emitted by owning production modules.,Block with HARNESS_STAMPED_ARTIFACT.,verify_artifact_provenance.py,producer_component; producer_module; producer_function_or_class; emitted_at; artifact_hash; upstream_artifact_ref,false if any harness-stamped artifact is used,ACCEPTED illegal when harness stamps production artifacts,Critical for proof integrity.,99 E2E proof bundle minimum standard and composition-vs-integrated proof distinction.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/*; agentic_core/L0_routing/*; agentic_core/L3_orchestration/exit_eval/v6/*; scripts/proof/*,scripts/verify_rtc_req_011.py,runtime_certification_report.md; integrated_runtime_bundle.json; artifact_manifest.json; no_bypass_receipt.json,Assert full 99 proof bundle minimum artifact set and producer-owned provenance chain.,"Must include missing artifact, wrong producer, missing upstream ref, no Exit, multiple X3, composition labelled integrated.","Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W2-integrated-runtime-entrypoint,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,Known current state: composition proof exists; integrated runtime entrypoint BLOCKED.
RTC-REQ-012,Runtime Chain,Exit required for completed runtime path,05 Exit,Exit evaluation,Every completed runtime proof MUST include ExitReviewPacket and exactly one X3 disposition.,INTEGRATED_RUNTIME,E6_INTEGRATED_RUNTIME_PROOF,true,false,ExitReviewPacket; X3DispositionReceipt,Exit receives terminal RET or sealed L2 artifact and emits exactly one disposition.,Cache hit stops before Exit; no X3; multiple X3 dispositions; missing ExitReviewPacket.,ACCEPTED only when ExitReviewPacket and exactly one X3DispositionReceipt are present.,Block with EXIT_MISSING_OR_AMBIGUOUS.,verify_exit_completion.py,exit_review_packet_ref; x3_disposition_ref; terminal_ret_packet_ref; l2_sealed_artifact_ref,false if Exit proof missing,ACCEPTED illegal if cache hit is treated as final without Exit,Applies to R1A/R1B.,99 E2E proof bundle minimum standard and composition-vs-integrated proof distinction.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/*; agentic_core/L0_routing/*; agentic_core/L3_orchestration/exit_eval/v6/*; scripts/proof/*,scripts/verify_rtc_req_012.py,runtime_certification_report.md; integrated_runtime_bundle.json; artifact_manifest.json; no_bypass_receipt.json,Assert full 99 proof bundle minimum artifact set and producer-owned provenance chain.,"Must include missing artifact, wrong producer, missing upstream ref, no Exit, multiple X3, composition labelled integrated.","Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W2-integrated-runtime-entrypoint,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,Known current state: composition proof exists; integrated runtime entrypoint BLOCKED.
RTC-REQ-013,Runtime Chain,Terminal cache route does not execute L2,03 L0 / 05 Exit,Route/Exit,"R1A/R1B terminal short-circuit routes MUST emit TerminalRetPacket and go to Exit, not L2 execution.",NO_BYPASS_RUNTIME,E4_NEGATIVE_CONTROL,true,false,RouteContract; TerminalRetPacket; ExitReviewPacket,R1A/R1B execution_form=TERMINAL_SHORTCIRCUIT; no L2 execution span/artifact exists.,Terminal cache route emits L2 sealed artifact; missing TerminalRetPacket; L2 execution after terminal cache hit.,ACCEPTED only when terminal path bypasses L2 and enters Exit.,Block with TERMINAL_ROUTE_EXECUTED_L2.,verify_terminal_route_no_l2.py,route_id; execution_form; terminal_ret_packet_ref; l2_sealed_artifact_ref,true only for valid terminal path,ACCEPTED illegal if terminal cache reaches L2,Specific cache anti-cheat.,99 E2E proof bundle minimum standard and composition-vs-integrated proof distinction.,"Adds explicit proof-depth, artifact, negative, source-of-truth, and fail-closed gates so ACCEPTED cannot hide weaker evidence.",agentic_core/runtime/*; agentic_core/L0_routing/*; agentic_core/L3_orchestration/exit_eval/v6/*; scripts/proof/*,scripts/verify_rtc_req_013.py,runtime_certification_report.md; integrated_runtime_bundle.json; artifact_manifest.json; no_bypass_receipt.json,Assert full 99 proof bundle minimum artifact set and producer-owned provenance chain.,"Must include missing artifact, wrong producer, missing upstream ref, no Exit, multiple X3, composition labelled integrated.","Downgrade to PARTIAL/BLOCKED if any required artifact, proof depth, subclaim, negative, replay, OTEL, or integrated-runtime condition is missing.",P0,W2-integrated-runtime-entrypoint,python scripts/verify_runtime_certification_matrix.py && python scripts/verify_all_requirements_gates.py && python scripts/verify_all_requirements_merkle_root.py,Known current state: composition proof exists; integrated runtime entrypoint BLOCKED.
