req_id,source_file,source_section,source_unit_type,source_text_short,canonical_requirement_statement,direct_or_implied,semantic_class,layer_owner,runtime_phase,required_artifacts,required_controls,required_tests,severity_if_missing,confidence_score,canonical_owner_surface,source_anchor_ref,risk_if_missing_rationale,artifact_schema_ref,runtime_artifact_expected,otel_span_expected,otel_required_attributes,replay_proof_expected,negative_control_expected,test_file_expected,acceptance_command,ci_gate_name,proof_bundle_ref,implementation_status,evidence_status,duplicate_group,supersedes_req_id,blocked_by_req_id,final_acceptance_status,hardening_notes,source_commit_sha,source_line_range,source_text_sha256,test_file_exists,ci_gate_exists,proof_bundle_exists,last_passed_commit,negative_control_specific
10C-REQ-001,00_ingestion_pipeline_index_build.md,[00.1] INTAKE,ASCII diagram stage,Raw sources intake with modality detect,Ingestion pipeline MUST detect content modality and route to text extractor or visual detector,explicit,A. Offline ingestion and retrieval substrate,knowledge/ingestion,Offline ingestion,detected_modality routed_content,ModalityClassifier TextExtractor VisualDetector,Modality detection accuracy; Routing correctness,HIGH,0.92,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.1] INTAKE,Loss degrades governance/replay/observability with material runtime impact; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_001.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_001.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-001_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:96712ddce297 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_ingestion_index_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,96712ddce297fcc14ee6910f9401640ffea1c42c,"Row-specific [10C-REQ-001]: ChunkSealedEnvelope emitted without satisfying ""Ingestion pipeline MUST detect content modality and route to text extractor or visual detector"" -- must fail"
10C-REQ-002,00_ingestion_pipeline_index_build.md,[00.2] CANONICAL RAW UNIT,ASCII diagram stage,Establish base immutable record,Ingestion MUST create canonical raw unit with raw text source identifier parent identifier visual modality flag,explicit,A. Offline ingestion and retrieval substrate,knowledge/ingestion,Offline ingestion,raw_unit_record source_id parent_id visual_flag,CanonicalUnitBuilder ParentChildLinker,Raw unit immutability; ID binding correctness,HIGH,0.93,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.2] CANONICAL RAW UNIT,Loss degrades governance/replay/observability with material runtime impact; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_002.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_002.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-002_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:96712ddce297 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_ingestion_index_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,96712ddce297fcc14ee6910f9401640ffea1c42c,"Row-specific [10C-REQ-002]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST create canonical raw unit with raw text source identifier parent identifier visual modality flag"" -- must fail"
10C-REQ-003,00_ingestion_pipeline_index_build.md,[00.3] LIFECYCLE + STATE SYNC,ASCII diagram stage,Dedupe checksum version compare tombstone preserve lineage reindex,Ingestion MUST implement lifecycle sync: dedupe checksum version compare tombstone stale data preserve graph lineage trigger reindex,explicit,A. Offline ingestion and retrieval substrate,knowledge/lifecycle,Offline ingestion,checksum_record version_diff tombstone_record lineage_graph reindex_trigger,DedupeEngine VersionComparator TombstoneEnforcer LineagePreserver ReindexEmitter,Dedupe accuracy; Version comparison; Tombstone completeness; Lineage preservation,MEDIUM,0.88,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.3] LIFECYCLE + STATE SYNC,Loss degrades quality/coverage but does not breach a sovereignty boundary; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_003.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_003.py -v --no-header,ops_scripts/ci/check_ingestion_index_proof.py,artifacts/proof/10c-req-003_proof_bundle.json,NOT_STARTED,PROOF_MISSING,,,,NEEDS_PROOF,,5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,false,false,false,,"Row-specific [10C-REQ-003]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST implement lifecycle sync: dedupe checksum version compare tombstone stale data preserve graph lineage..."" -- must fail"
10C-REQ-004,00_ingestion_pipeline_index_build.md,[00.4] CHUNKING POLICY,ASCII diagram stage,Corpus classifier with four chunking strategies,Ingestion MUST implement corpus-aware chunking with four strategies: policy/long docs section-aware incident/trace event-boundary code/config symbol-aware visuals/tables element-aware,explicit,A. Offline ingestion and retrieval substrate,knowledge/chunking,Offline ingestion,chunked_content strategy_id parent_child_markers type_metadata,CorpusClassifier PolicyChunker IncidentChunker CodeChunker VisualChunker,Four strategies implemented; No generic default fallback,MEDIUM,0.90,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.4] CHUNKING POLICY,Loss degrades quality/coverage but does not breach a sovereignty boundary; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_004.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_004.py -v --no-header,ops_scripts/ci/check_ingestion_index_proof.py,artifacts/proof/10c-req-004_proof_bundle.json,NOT_STARTED,PROOF_MISSING,,,,NEEDS_PROOF,,5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,false,false,false,,"Row-specific [10C-REQ-004]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST implement corpus-aware chunking with four strategies: policy/long docs section-aware incident/trace..."" -- must fail"
10C-REQ-005,00_ingestion_pipeline_index_build.md,[00.5] METADATA BINDING,ASCII diagram stage - CRITICAL,Bind ACL tenant confidentiality freshness dates schema version,Ingestion MUST bind metadata BEFORE embedding: ACL tenant_id confidentiality_tier freshness_band effective_date expiry_date embedding_schema_version,explicit,A. Offline ingestion and retrieval substrate + D. Governance,knowledge/ingestion,Offline ingestion,metadata_bound_chunk six_mandatory_fields,ACLBinder TenantStamper FreshnessStamper VersionStamper,All six fields mandatory; Pre-embedding binding enforced,CRITICAL,0.95,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.5] METADATA BINDING,Loss of this requirement compromises a sovereignty boundary or safety invariant; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_005.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_005.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-005_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:25328cee1165 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_ingestion_index_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,25328cee11659a58489036058ef1acb9389ed12f,"Row-specific [10C-REQ-005]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST bind metadata BEFORE embedding: ACL tenant_id confidentiality_tier freshness_band effective_date..."" -- must fail"
10C-REQ-006,00_ingestion_pipeline_index_build.md,[00.6] DUAL REPRESENTATION,ASCII diagram stage + model distinction note,Dual path: raw text and contextual enrichment both embedded,Ingestion MUST generate dual representations: raw_text_vector literal semantic map AND contextual_text_vector semantic overlay map from enrichment,explicit,A. Offline ingestion and retrieval substrate,knowledge/embedding,Offline ingestion,dual_vectors raw_path contextual_path,DualPathEmbedder RawTextEncoder ContextualEncoder,Both paths generated; Vector quality maintained,HIGH,0.90,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.6] DUAL REPRESENTATION,Loss degrades governance/replay/observability with material runtime impact; surface=Offline_Ingestion_Index_Build; class=A,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_006.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_006.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-006_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:96712ddce297 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_ingestion_index_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,96712ddce297fcc14ee6910f9401640ffea1c42c,"Row-specific [10C-REQ-006]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST generate dual representations: raw_text_vector literal semantic map AND contextual_text_vector semantic..."" -- must fail"
10C-REQ-007,00_ingestion_pipeline_index_build.md,[MODEL DISTINCTIONS],prose block,Embedding model vs LLM separation,Embedding model maps text to semantic space offline for document-side vectors; LLM predicts next token at runtime; Different objectives different output heads,explicit,B. Model-role separation,knowledge/embedding + L2 execution,Both offline and runtime,embedding_model_output llm_output,ModelRoleSeparator EmbeddingLLMDistinguisher,No conflation of retrieval vector creation and generation; Architecture binding enforced,HIGH,0.95,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[MODEL DISTINCTIONS],Loss degrades governance/replay/observability with material runtime impact; surface=Offline_Ingestion_Index_Build; class=B,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_007.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_007.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-007_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:96712ddce297 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_ingestion_index_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,96712ddce297fcc14ee6910f9401640ffea1c42c,"Row-specific [10C-REQ-007]: ChunkSealedEnvelope emitted without satisfying ""Embedding model maps text to semantic space offline for document-side vectors; LLM predicts next token at runtime;..."" -- must fail"
10C-REQ-008,00_ingestion_pipeline_index_build.md,[00.7] MULTI-VECTOR MASTER ARCHIVES,ASCII diagram stage,Dense index sparse index canonical store parent-child index,Ingestion MUST publish five storage surfaces: dense search index sparse keyword index canonical raw store parent-child index unified metadata store,explicit,A. Offline ingestion and retrieval substrate,knowledge/L4,Offline->runtime handoff,five_storage_surfaces dense_idx sparse_idx canonical_store parent_child_idx metadata_store,IndexMaterializer SparseIndexBuilder CanonicalStoreBuilder ParentChildIndexBuilder,All five surfaces materialized; Handoff readiness verified,HIGH,0.88,00B_L4_State_Archive_and_UWG,00_ingestion_pipeline_index_build.md#[00.7] MULTI-VECTOR MASTER ARCHIVES,Loss degrades governance/replay/observability with material runtime impact; surface=00B_L4_State_Archive_and_UWG; class=A,agentic_core/L4_state/contracts/commit_request.py:CommitRequest,CommitRequest + WriteAdmissionVerdict + DurableCommitReceipt,uwg.commit.validated,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|commit_request_id,replay_digest matches between primary and secondary execution; replay_key stable across runs,UWG commits without a CommitRequest envelope -- must fail,tests/unit/agentic_core/L4_state/test_10c_req_008.py,python -m pytest tests/unit/agentic_core/L4_state/test_10c_req_008.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-008_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:3324888db4e6 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_uwg_write_admission_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,3324888db4e60267618b09af1a40525642fcea86,"Row-specific [10C-REQ-008]: CommitRequest emitted without satisfying ""Ingestion MUST publish five storage surfaces: dense search index sparse keyword index canonical raw store parent-child..."" -- must fail"
10C-REQ-009,00_ingestion_pipeline_index_build.md,[00.8] INDEX EVAL + FEEDBACK,ASCII diagram stage,Recall@K NDCG MRR citation precision support rate drift reindex trigger,Ingestion MUST implement evaluation feedback: Recall@K NDCG MRR citation_precision support_rate drift/staleness detection reindex_trigger emission,explicit,E. Metrics evaluation promotion,knowledge/evaluation,Offline post-ingestion,metrics_bundle feedback_signals reindex_trigger,MetricCalculator DriftDetector FeedbackLoopRouter,Metrics computed; Feedback loop closes to chunking/embedding tuning,MEDIUM,0.80,Offline_Ingestion_Index_Build,00_ingestion_pipeline_index_build.md#[00.8] INDEX EVAL + FEEDBACK,Loss degrades quality/coverage but does not breach a sovereignty boundary; surface=Offline_Ingestion_Index_Build; class=E,agentic_core/L1_cognition/c0_context/ingestion/contracts.py:ChunkSealedEnvelope,ChunkSealedEnvelope + IndexMaterializationManifest,ingest.chunk.sealed,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|artifact_id,chunk hash + index manifest deterministic for fixed corpus snapshot,Ingestion pipeline emits a runtime answer or skips ACL/tenant binding -- must fail,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_009.py,python -m pytest tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_009.py -v --no-header,ops_scripts/ci/check_ingestion_index_proof.py,artifacts/proof/10c-req-009_proof_bundle.json,NOT_STARTED,PROOF_MISSING,,,,NEEDS_PROOF,,5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,false,false,false,,"Row-specific [10C-REQ-009]: ChunkSealedEnvelope emitted without satisfying ""Ingestion MUST implement evaluation feedback: Recall@K NDCG MRR citation_precision support_rate drift/staleness..."" -- must fail"
10C-REQ-010,00_ingestion_pipeline_index_build.md,[00.9] PUBLISH RETRIEVAL ASSETS,ASCII diagram stage,Publish raw_text_vector contextual_text_vector sparse surfaces canonical chunks lineage,Ingestion MUST publish retrieval assets: raw_text_vector contextual_text_vector sparse keyword surfaces canonical raw chunks parent-child lineage,explicit,A. Offline ingestion and retrieval substrate,knowledge/L4,Offline->runtime handoff,retrieval_assets five_surfaces_published,AssetPublisher HandoffReadinessGate,Publication confirmed; Runtime can proceed,HIGH,0.90,00B_L4_State_Archive_and_UWG,00_ingestion_pipeline_index_build.md#[00.9] PUBLISH RETRIEVAL ASSETS,Loss degrades governance/replay/observability with material runtime impact; surface=00B_L4_State_Archive_and_UWG; class=A,agentic_core/L4_state/contracts/commit_request.py:CommitRequest,CommitRequest + WriteAdmissionVerdict + DurableCommitReceipt,uwg.commit.validated,req_id|run_id|trace_id|request_id|owner_surface|policy_hash|blueprint_hash|replay_key|commit_request_id,replay_digest matches between primary and secondary execution; replay_key stable across runs,UWG commits without a CommitRequest envelope -- must fail,tests/unit/agentic_core/L4_state/test_10c_req_010.py,python -m pytest tests/unit/agentic_core/L4_state/test_10c_req_010.py -v --no-header,ops_scripts/ci/check_10c_pilot_proof_evidence.py,artifacts/proof/10c-req-010_proof_bundle.json,IMPLEMENTED,PROOF_PRESENT,,,,ACCEPTED,EVIDENCE_BOUND_TO_COMMIT:3324888db4e6 | CI_GATE_REPOINTED_TO_PILOT:was='ops_scripts/ci/check_uwg_write_admission_proof.py',5c5e350491a4e436f9d0d472739d20e1aab2c044,n/a,f3eae968d284559adbb50f712f51f350d157b7f66ba0a2473b9489bfea2ab075,true,true,true,3324888db4e60267618b09af1a40525642fcea86,"Row-specific [10C-REQ-010]: CommitRequest emitted without satisfying ""Ingestion MUST publish retrieval assets: raw_text_vector contextual_text_vector sparse keyword surfaces canonical raw..."" -- must fail"
