page_id,title,inferred_layer,inferred_surface,inferred_fan_in,coverage_gap_pct,band,impact_score,new_title
34c27693-f55c-8144-bee1-dcc2cba96ebb,[SCORING] Wave 5 — Apply filled worksheet to Notion,L_OPS,None,1,100.0,P3,130.1,[SCORING] Wave 5 — Apply filled worksheet to Notion
34c27693-f55c-8165-bdcc-ea13ef820433,[SCORING] Wave 4 — Score 22 singleton rows (H/B/EQ/ENH/misc),L_OPS,None,1,100.0,P3,130.1,[SCORING] Wave 4 — Score 22 singleton rows (H/B/EQ/ENH/misc)
34c27693-f55c-8100-940f-ffb19249fd64,[SCORING] Wave 3 — Score 8 baseline-burndown rows (GAP/W1-P0/W3-P2/W4-P3),L_OPS,None,1,100.0,P3,130.1,[SCORING] Wave 3 — Score 8 baseline-burndown rows (GAP/W1-P0/W3-P2/W4-P3)
34c27693-f55c-8143-a615-e98fa5f2895c,[SCORING] Wave 2 — Score 22 governance rows (W1.x / W2.x / W2-P1.x),L_OPS,None,1,100.0,P3,130.1,[SCORING] Wave 2 — Score 22 governance rows (W1.x / W2.x / W2-P1.x)
34c27693-f55c-8193-93c4-d587a736b473,[SCORING] Wave 1 — Score 4 graph-edge rows (W9/W11/W12/W13),L_OPS,None,1,100.0,P3,130.1,[SCORING] Wave 1 — Score 4 graph-edge rows (W9/W11/W12/W13)
34a27693-f55c-81c6-8bf0-e608d5d8b717,F4.3 — mv_routing_* materialized views for ADG graph-layer,L6,Observability,1,100.0,P3,107.33,[P3] F4.3 — mv_routing_* materialized views for ADG graph-layer
34a27693-f55c-8172-b948-d45064313407,F4.1 — ADG generator ingestion of routing_decision_events table,L6,Observability,1,100.0,P3,107.33,[P3] F4.1 — ADG generator ingestion of routing_decision_events table
34a27693-f55c-81f9-bf2d-ee190ada27c1,Pilot L2 agent integration — ExecutionOrchestrator._populate_d2_cache uses blast_radius MV,L2,None,1,100.0,P3,130.1,[P3] Pilot L2 agent integration — ExecutionOrchestrator._populate_d2_cache uses blast_radius MV
34a27693-f55c-8110-9675-e1c647a75599,ADR — L2 execution agent graph-layer integration contract,L2,Execution,1,100.0,P2,169.13,[P2] ADR — L2 execution agent graph-layer integration contract
34a27693-f55c-817a-8a4c-e7fd9fee45aa,Expose ADG materialized views + semantic edges via adg_sqlite MCP,L6,Observability,1,100.0,P3,107.33,[P3] Expose ADG materialized views + semantic edges via adg_sqlite MCP
34a27693-f55c-81b7-9801-c4cc0b48999c,Rewrite weak gates to use graph-layer primitives (MVs + semantic edges),L6,Observability,1,100.0,P3,107.33,[P3] Rewrite weak gates to use graph-layer primitives (MVs + semantic edges)
34a27693-f55c-81e5-94d5-c33680d1ef05,Gate precision audit — negative-test each post-ADG gate,L6,Observability,1,100.0,P3,107.33,[P3] Gate precision audit — negative-test each post-ADG gate
34a27693-f55c-8165-bdc0-e8f2a331dc94,Burn down test-harness coverage baseline (1051 uncovered prod modules),L_OPS,None,1,100.0,P3,130.1,[P3] Burn down test-harness coverage baseline (1051 uncovered prod modules)
34a27693-f55c-81af-a69b-f4f5a35eec94,Burn down config-reference baseline (153 undeclared env flags),L_OPS,None,1,100.0,P3,130.1,[P3] Burn down config-reference baseline (153 undeclared env flags)
34a27693-f55c-814d-a7b6-f73b819d599f,Burn down lifecycle-pair baseline (142 legacy leaks),L_OPS,None,1,100.0,P3,130.1,[P3] Burn down lifecycle-pair baseline (142 legacy leaks)
34a27693-f55c-81ec-aac1-e3f124197866,Promote remaining 2 warn-severity exception contracts to error,L_OPS,None,1,100.0,P3,130.1,[P3] Promote remaining 2 warn-severity exception contracts to error
34a27693-f55c-8186-a3be-ebc8a6a7fc37,Fix pre-commit MM dual-state silent rollback,L_OPS,Write,1,100.0,P2,182.14,[P2] Fix pre-commit MM dual-state silent rollback
34a27693-f55c-81fb-96a5-cafba9a5297d,Terminal Cleanup Baseline Burndown — 30 violations across 25 files,L_OPS,None,30,100.0,P2,249.14,[P2] Terminal Cleanup Baseline Burndown — 30 violations across 25 files
34a27693-f55c-8180-98f6-d935727c8361,ssot-sweep: _validate_baseline_integrity test coverage deferred,L_TOOLS,None,1,100.0,P3,130.1,[P3] ssot-sweep: _validate_baseline_integrity test coverage deferred
34927693-f55c-8151-ba2d-e2239400152a,W7 — P3 long-tail (style) antipattern burndown,L_OPS,None,1,100.0,P3,130.1,[P3] W7 — P3 long-tail (style) antipattern burndown
34927693-f55c-8195-9405-c7318e67a2be,W5 — Post-W4 resnapshot to refresh ADR-024 Part B promotion counts,L_OPS,None,1,100.0,P3,130.1,[P3] W5 — Post-W4 resnapshot to refresh ADR-024 Part B promotion counts
33f27693-f55c-8133-ab21-d491c1e074cd,Delete lifecycle trace emit block (import-time side effects),L6,Observability,1,100.0,P3,107.33,[P3] Delete lifecycle trace emit block (import-time side effects)
33f27693-f55c-8142-b6c6-f75f7cd440a0,Remove LCD subfolder builder pipeline (_build_lcd_subfolders_template),L_OPS,None,1,100.0,P3,130.1,[P3] Remove LCD subfolder builder pipeline (_build_lcd_subfolders_template)
33f27693-f55c-8167-9b69-ce01e041630b,Remove all *_subfolders keys from LAYER_OVERRIDES,L_OPS,None,1,100.0,P3,130.1,[P3] Remove all *_subfolders keys from LAYER_OVERRIDES
