rule_id,module,function_name,line,family_guess,disposition_guess,rationale
G01-enforcement-enforce_layer,agentic_core/L5_safety/runtime_gates/enforcement.py,enforce_layer,100,G01,HARD,"Name/doc contains hard-fail keyword in ('block', 'deny', 'reject', 'forbid', 'halt', 'fail_closed', 'must_not', 'abort', 'panic', 'kill')"
G02-AdapterBase-verify_healing_target,agentic_core/L5_safety/enforcement/AdapterBase.py,verify_healing_target,390,G02,REMEDIABLE,"Name/doc contains remediation keyword in ('warn', 'redact', 'sanitize', 'repair', 'heal', 'remediate', 'quarantine', 'soft_fail', 'advisory')"
G02-HumanReviewAdapter-check_status,agentic_core/L5_safety/enforcement/HumanReviewAdapter.py,check_status,284,G02,UNTAGGED,No keyword match — human must decide
G02-activation_gate-assert_activation_allowed,agentic_core/L5_safety/enforcement/activation_gate.py,assert_activation_allowed,47,G02,UNTAGGED,No keyword match — human must decide
G02-artifact_emission_prohibition_enforcer-assert_layer_may_emit,agentic_core/L5_safety/enforcement/artifact_emission_prohibition_enforcer.py,assert_layer_may_emit,29,G02,HARD,"Name/doc contains hard-fail keyword in ('block', 'deny', 'reject', 'forbid', 'halt', 'fail_closed', 'must_not', 'abort', 'panic', 'kill')"
G02-ai_check_audit-check_ci_invariant,agentic_core/L5_safety/enforcement/audit/ai_check_audit.py,check_ci_invariant,144,G02,UNTAGGED,No keyword match — human must decide
G02-hash_chain_audit_log-verify_hash,agentic_core/L5_safety/enforcement/audit/hash_chain_audit_log.py,verify_hash,80,G02,UNTAGGED,No keyword match — human must decide
G02-hash_chain_audit_log-verify_chain_integrity,agentic_core/L5_safety/enforcement/audit/hash_chain_audit_log.py,verify_chain_integrity,195,G02,UNTAGGED,No keyword match — human must decide
G02-safety_audit_registry-verify_audit_exists,agentic_core/L5_safety/enforcement/audit/safety_audit_registry.py,verify_audit_exists,303,G02,UNTAGGED,No keyword match — human must decide
G02-safety_audit_registry-verify_policy_hash_present,agentic_core/L5_safety/enforcement/audit/safety_audit_registry.py,verify_policy_hash_present,308,G02,UNTAGGED,No keyword match — human must decide
G02-safety_audit_registry-verify_decision_outcome_present,agentic_core/L5_safety/enforcement/audit/safety_audit_registry.py,verify_decision_outcome_present,314,G02,UNTAGGED,No keyword match — human must decide
G02-safety_audit_registry-verify_human_review_metadata,agentic_core/L5_safety/enforcement/audit/safety_audit_registry.py,verify_human_review_metadata,320,G02,UNTAGGED,No keyword match — human must decide
G02-safety_audit_trail-record_guardrail_check,agentic_core/L5_safety/enforcement/audit/safety_audit_trail.py,record_guardrail_check,117,G02,UNTAGGED,No keyword match — human must decide
G02-canary_token_defense_strategy-validate_input_structure,agentic_core/L5_safety/enforcement/canary_token_defense_strategy.py,validate_input_structure,149,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-validate_all,agentic_core/L5_safety/enforcement/data_enforcer.py,validate_all,215,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_base_agent_uniqueness,agentic_core/L5_safety/enforcement/data_enforcer.py,check_base_agent_uniqueness,240,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_layer_consistency,agentic_core/L5_safety/enforcement/data_enforcer.py,check_layer_consistency,277,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_path_integrity,agentic_core/L5_safety/enforcement/data_enforcer.py,check_path_integrity,301,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_metric_sanity,agentic_core/L5_safety/enforcement/data_enforcer.py,check_metric_sanity,321,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_inheritance_patterns,agentic_core/L5_safety/enforcement/data_enforcer.py,check_inheritance_patterns,349,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_naming_conventions,agentic_core/L5_safety/enforcement/data_enforcer.py,check_naming_conventions,373,G02,UNTAGGED,No keyword match — human must decide
G02-data_enforcer-check_data_completeness,agentic_core/L5_safety/enforcement/data_enforcer.py,check_data_completeness,402,G02,UNTAGGED,No keyword match — human must decide
G02-embedding_non_interference_guardrail-assert_c0_context_clean,agentic_core/L5_safety/enforcement/embedding_non_interference_guardrail.py,assert_c0_context_clean,217,G02,HARD,"Name/doc contains hard-fail keyword in ('block', 'deny', 'reject', 'forbid', 'halt', 'fail_closed', 'must_not', 'abort', 'panic', 'kill')"
G02-embedding_non_interference_guardrail-assert_no_c0_influence,agentic_core/L5_safety/enforcement/embedding_non_interference_guardrail.py,assert_no_c0_influence,257,G02,UNTAGGED,No keyword match — human must decide
G02-embedding_non_interference_guardrail-verify_routing_decision_clean,agentic_core/L5_safety/enforcement/embedding_non_interference_guardrail.py,verify_routing_decision_clean,294,G02,UNTAGGED,No keyword match — human must decide
G02-embedding_non_interference_guardrail-assert_routing_decision_clean,agentic_core/L5_safety/enforcement/embedding_non_interference_guardrail.py,assert_routing_decision_clean,311,G02,UNTAGGED,No keyword match — human must decide
G02-human_escalation-verify_policy_designated_escalation,agentic_core/L5_safety/enforcement/escalation/human_escalation.py,verify_policy_designated_escalation,523,G02,UNTAGGED,No keyword match — human must decide
G02-human_escalation-verify_reviewer_outcome_present,agentic_core/L5_safety/enforcement/escalation/human_escalation.py,verify_reviewer_outcome_present,529,G02,UNTAGGED,No keyword match — human must decide
G02-exit_control_hitl-validate_and_reclear,agentic_core/L5_safety/enforcement/exit_control_hitl.py,validate_and_reclear,288,G02,HARD,"Name/doc contains hard-fail keyword in ('block', 'deny', 'reject', 'forbid', 'halt', 'fail_closed', 'must_not', 'abort', 'panic', 'kill')"
G02-tool_safety_gate-check_tool,agentic_core/L5_safety/enforcement/gates/tool_safety_gate.py,check_tool,271,G02,UNTAGGED,No keyword match — human must decide
G02-tool_safety_gate-validate_by_safety_plane,agentic_core/L5_safety/enforcement/gates/tool_safety_gate.py,validate_by_safety_plane,389,G02,UNTAGGED,No keyword match — human must decide
