req_id,canonical_owner_surface,layer_owner,expected_span,test_file_expected,ci_gate_name,prior_proof_status,prior_final_status,actual_proof_depth,proof_status,harness_outcome,span_count,expected_seen,harness_replay_digest,composition_status,composition_components_reached,content_hash,git_head_at_test_time,caveat_class,caveat_reason
10C-REQ-001,Offline_Ingestion_Index_Build,knowledge/ingestion,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_001.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,a57a5e2e2dbd8ca27c102f552e597c65dcd4ff50790f73c5d42e230d7960fec5,96712ddce297fcc14ee6910f9401640ffea1c42c,,
10C-REQ-002,Offline_Ingestion_Index_Build,knowledge/ingestion,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_002.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,92a2625291edbae68957424cb15c3413e08010b4e768d46ff50026f86b52d34b,96712ddce297fcc14ee6910f9401640ffea1c42c,,
10C-REQ-003,Offline_Ingestion_Index_Build,knowledge/lifecycle,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_003.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,9fdfd660c2822dbc8a89bfddc8e8d97e6c1df8d6f1e3b41550b8d4c7999d5f7e,540f5eec0a2d760f56ceb36d0b11e6fc706ffd40,,
10C-REQ-004,Offline_Ingestion_Index_Build,knowledge/chunking,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_004.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,8249499a243bf6aa1b0b6f2cc1b0594641f2c4e9423acdc4dd7f36c8927493e0,540f5eec0a2d760f56ceb36d0b11e6fc706ffd40,,
10C-REQ-005,Offline_Ingestion_Index_Build,knowledge/ingestion,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_005.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,bb1aa2135e917037ab85ccc987029caa6af795a42728a3b4016706ce6a0e077a,25328cee11659a58489036058ef1acb9389ed12f,,
10C-REQ-006,Offline_Ingestion_Index_Build,knowledge/embedding,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_006.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,159abe9bb12e22f2ba1319e3bb18020666e9e7b783dc5a98e4102f730137733d,96712ddce297fcc14ee6910f9401640ffea1c42c,,
10C-REQ-007,Offline_Ingestion_Index_Build,knowledge/embedding + L2 execution,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_007.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,c295d77c21d18726cc4d7defabca146f34058eee056a72105f1c2bc157301a76,96712ddce297fcc14ee6910f9401640ffea1c42c,,
10C-REQ-008,00B_L4_State_Archive_and_UWG,knowledge/L4,uwg.commit.validated,tests/unit/agentic_core/L4_state/test_10c_req_008.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,9fbe0b634050f5c47bda2e2b8b3c000bfdd394593305df606eb0bbd04a421f05,3324888db4e60267618b09af1a40525642fcea86,,
10C-REQ-009,Offline_Ingestion_Index_Build,knowledge/evaluation,ingest.chunk.sealed,tests/unit/agentic_core/L1_cognition/c0_context/ingestion/test_10c_req_009.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,557b335b1630a63152d95652eae70cf79ca4da66503cc38c4b89593bdc84d48f,540f5eec0a2d760f56ceb36d0b11e6fc706ffd40,,
10C-REQ-010,00B_L4_State_Archive_and_UWG,knowledge/L4,uwg.commit.validated,tests/unit/agentic_core/L4_state/test_10c_req_010.py,ops_scripts/ci/check_10c_pilot_proof_evidence.py,PROOF_PRESENT,ACCEPTED,E4_NEGATIVE_CONTROL,EVIDENCE_PRESENT,NO_SPANS_EMITTED,0,false,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,,0,5cb4c240efbedca26542774938a31844dcb31d8bf38fb47404e66bf2e3f90db1,3324888db4e60267618b09af1a40525642fcea86,,
