10c_req_id,10a_req_id,covered_by_10a,10a_coverage_type,coverage_gap_reason,coverage_status_normalized,baseline_gap_class,new_best_practice_wave,requires_10a_backport,coverage_confidence,canonical_owner_surface,external_proof_pack_ref,harmonization_notes
10C-REQ-001,REQ-025,partial,Semantic extraction present but corpus-level vs row-level,10a REQ-025 covers chunking generally but not row-level modality detect requirement,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-002,None,no,Not extracted,10a baseline started at REQ-001 skipping corpus ingestion details,NO,not_in_28_baseline,,true,high,Offline_Ingestion_Index_Build,,
10C-REQ-003,REQ-026,partial,Semantic extraction present but missing row-level dedupe details,10a REQ-026 covers lifecycle generally but not specific dedupe checksum version compare tombstone reindex sequence,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-004,REQ-025,yes,REQ-025 covers chunking policy generally,Full semantic coverage of corpus-aware chunking in 10a,YES,in_28_baseline,,false,high,Offline_Ingestion_Index_Build,,
10C-REQ-005,REQ-022,yes,REQ-022 covers metadata binding with six required fields,Full semantic coverage of pre-embedding metadata binding,YES,in_28_baseline,,false,high,Offline_Ingestion_Index_Build,,
10C-REQ-006,REQ-027,partial,REQ-027 mentions dual vectors but not row-level dual path details,10a covers dual vectors generally but not raw_text_vector contextual_text_vector explicit separation,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-007,None,no,Not extracted - Model-role separation not in 28 baseline,10a 28 requirements focused on runtime layers missing embedding/LLM distinction,NO,not_in_28_baseline,,true,high,Offline_Ingestion_Index_Build,,
10C-REQ-008,REQ-027,yes,REQ-027 covers five storage surfaces,Full semantic coverage of published surfaces,YES,in_28_baseline,,false,high,00B_L4_State_Archive_and_UWG,,
10C-REQ-009,REQ-019,partial,REQ-019 mentions metrics but not specific index eval feedback loop,10a has metrics but not tied to ingestion feedback loop specifically,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-010,REQ-027,partial,REQ-027 mentions five surfaces but not explicit handoff contract,10a covers surfaces but not handoff readiness verification,PARTIAL,row_level_gap_only,,true,medium,00B_L4_State_Archive_and_UWG,,
10C-REQ-011,N/A,N/A,Explanatory only - Pedagogical legend,Not a normative requirement - excluded from 10a,NOT_APPLICABLE,pedagogical,,false,high,Cross_Cutting_Observability_Replay_Audit,,
10C-REQ-012,REQ-025,partial,REQ-025 covers chunking generally but not extraction stage details,10a corpus-level extraction missing,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-013,REQ-025,partial,REQ-025 covers chunking but not four strategy details at row level,10a has strategies but not as explicit row-level requirements,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-014,REQ-025,partial,REQ-025 covers semantic enrichment but not dual rail output details,10a enrichment mentioned but raw+contextual rails not explicit,PARTIAL,row_level_gap_only,,true,medium,Offline_Ingestion_Index_Build,,
10C-REQ-015,REQ-022,yes,REQ-022 covers metadata binding including doc_id chunk_id parent_id,Full semantic coverage of metadata binding,YES,in_28_baseline,,false,high,Offline_Ingestion_Index_Build,,
10C-REQ-016,None,no,Not extracted - Token-to-vector mechanics not in baseline,10a 28 requirements missing embedding generation internals,NO,not_in_28_baseline,,true,high,Offline_Ingestion_Index_Build,,
10C-REQ-017,None,no,Not extracted - Vector record assembly not in baseline,10a missing record assembly invariant details,NO,not_in_28_baseline,,true,high,Offline_Ingestion_Index_Build,,
