binding_id,model_role,model_type,attention_mechanism,use_case,allowed_models,prohibited_models,architecture_invariant,layer_binding,output_type,output_head,confidence_threshold,auto_fallback_binding
BIND-10C-001,embedding_retrieval,encoder_only,bidirectional_full,offline_ingestion,"BAAI/bge-m3 sentence-transformers/all-MiniLM-L6-v2",decoder_only_models,"Bidirectional attention sees full context|Pooler produces single vector|Chunk-level not corpus-wide|Offline async init",knowledge/ingestion/L4,semantic_vector,pooled_chunk_vector_via_ferry,N/A,N/A
BIND-10C-002,generation_llm,decoder_only,causal_left_context_only,runtime_execution,"claude-3-5-sonnet-20241022 gpt-4 gemini-1.5-pro",encoder_only_models,"Causal attention blind to future|Can read full current prefix|Next-token prediction|Live not offline",L2 execution,next_token_probabilities,vocabulary_exit_gate,N/A,N/A
BIND-10C-003,local_heal_high_confidence,local_agent,hybrid_bounded,execution_repair_local,"local_deterministic_rules regex_replace schema_fixer",external_llm_apis_for_high_conf,"Deterministic only|No LLM call|Bounded SSOT repair|Same blueprint/policy snapshot",L3 healing,repair_patch,rule_based_patch,>0.85,local_agent
BIND-10C-004,heal_medium_confidence,remote_vllm,causal_with_tooling,execution_repair_remote,"qwen2.5-vllm local_vllm_endpoint",external_proprietary_apis,"Tool-augmented|Local endpoint|No external network|Sandboxed",L3 healing,repair_patch,llm_generated_patch,0.50-0.85,qwen_vllm
BIND-10C-005,heal_low_confidence,proprietary_sota,causal_max_capability,execution_repair_expert,"gemini-2.5-pro-preview claude-3-opus","lightweight_models uncensored_models","Maximum reasoning|External API allowed|Cost accounted|Audit logged",L3 healing,repair_patch,llm_generated_patch,<0.50,gemini_2_5_pro
BIND-10C-006,routing_cache_semantic,embedding_encoder,bidirectional_query_match,routing_optimization,"same_as_embedding_retrieval",generation_models,"Query_vec vs cached_vec comparison|Support threshold|Freshness check",L0 routing,similarity_score,cosine_similarity,>0.72,N/A
BIND-10C-007,evidence_dense_retrieval,embedding_encoder,bidirectional_vector_search,evidence_fetch,"same_as_embedding_retrieval",generation_models,"Dense recall query_vec vs raw/contextual vectors|Top-K validated winners",C0 retrieval,evidence_chunks,vector_similarity_ranked,>0.65,N/A
BIND-10C-008,evidence_sparse_retrieval,sparse_indexer,inverted_index_lookup,literal_matching,"bm25 tf-idf lexical_matcher",semantic_vector_models,"Exact term/code/schema match|Postings lists|ID searches",C0 retrieval,evidence_chunks,term_frequency_ranked,exact_match,N/A
BIND-10C-009,shadow_evaluation_outcome,evaluation_judge,scoring_rubric,post_run_grading,"outcome_evaluator_b outcome_evaluator_c","live_runtime_models","Async only|No live impact|Metrics aggregation|Drift detection",L6 shadow eval,quality_scores,score_bundle,>0.80,N/A
BIND-10C-010,shadow_evaluation_trajectory,trajectory_analyzer,sequence_analysis,post_run_analysis,"trajectory_evaluator_d","outcome_only_models","Tool selection ordering|Arg correctness|Retry thrash|Budget compliance",L6 shadow eval,trajectory_scores,score_bundle,>0.75,N/A
BIND-10C-011,governance_registry_check,registry_validator,identity_verification,capability_control,"allowed_model_registry","unregistered_models","Identity check|Digest integrity|Execution mode lock",C0/C7 governance,validation_result,pass_fail_with_reason,N/A,N/A
BIND-10C-012,replay_determinism,wall_clock_interceptor,deterministic_time,replay_execution,"seeded_clock frozen_clock","live_wall_clock uuid4_random","Run Clock Only|Seeded Only|Stable IDs|No network|One snapshot",C1/L2/L5,replay_envelope,determinism_digest,100%,N/A
BIND-10C-013,capability_token_generation,token_builder,cryptographic_signed,access_authorization,"capability_token_generator","unsigned_tokens expired_tokens","Bounded scope|Expiration|Timeout|Sandbox envelope",C7 capability,capability_token,signed_token_with_claims,N/A,N/A
BIND-10C-014,prompt_assembly_token_budget,token_counter,accumulative_budgeting,context_management,"token_budgeter","unbounded_context_models","Trim stratify|Reserve safety/schema|Overflow->abstain|C0 before U0",prompt assembly,token_count,budget_enforced_trimmed,<max_budget,N/A
