gap_id,file_path,function_class_symbol,violation_type,canonical_requirement,severity,remediation,effort_estimate,dependencies
C1-001,apps_lic/types/lic_vector_memory_types.py,VectorMemory operations,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,High,None
C1-002,apps_lic/types/TraceRegistry.py,Registry persistence,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,High,None
C1-003,apps_lic/reasoning/OutreachLearningAgent.py,Learning persistence,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,Medium,WriteGovernorMixin
C1-004,apps_lic/utils/manifest_manager_util.py,Manifest management,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,Medium,None
C1-005,apps_lic/reasoning/LicHealingOrchestrator.py,Healing state,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,Medium,None
C1-006,apps_lic/reasoning/LicCodeInterpreter.py,Code execution,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,Medium,Sandbox enforcement
C1-007,apps_lic/types/state_checkpoint_types.py,Checkpoint operations,DIRECT_WRITE,UWG is only durable write path,CRITICAL,Replace with UWG write_through,High,L4 integration
C2-001,agentic_core/utils/workflow_engines/apps_engines_aliases.py,14 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,CRITICAL,Remove or move to apps_shared,High,Break circular deps
C2-002,agentic_core/L5_safety/config/structure_blueprint/ssot.py,7 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,HIGH,Remove or inject via L2,Medium,Refactor config
C2-003,agentic_core/L0_routing/scripts/execution_context.py,5 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,HIGH,Create L2 facade,Medium,Facade layer
C2-004,apps_lic/utils/lic_agent_base_util.py,10 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,HIGH,Route through L2 facades,Medium,Facade layer
C2-005,apps_lic/engines/lic_spine_adapter.py,6 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,HIGH,Use L2ExecutionAgent,Medium,L2 contracts
C2-006,apps_lic/reasoning/OutreachSignalRouterAgent.py,6 imports,CROSS_LAYER_IMPORT,Layer gravity enforcement,HIGH,Use L2ExecutionAgent,Medium,L2 contracts
C3-001,apps_lic/reasoning/LicHealingOrchestrator.py,HITL methods,MISSING_RE_CLEARANCE,HITL requires L5 re-clear,CRITICAL,Implement L5ReClearanceGate,Medium,L5 enforcement
C3-002,apps_lic/reasoning/HOPPipelineExecutor.py,Pipeline HITL,MISSING_RE_CLEARANCE,HITL requires L5 re-clear,CRITICAL,Add re-clearance gate,Medium,L5 enforcement
C3-003,apps_rg/reasoning/RgHealingOrchestrator.py,Healing HITL,MISSING_RE_CLEARANCE,HITL requires L5 re-clear,CRITICAL,Add re-clearance gate,Medium,L5 enforcement
C4-001,agentic_core/L4_state/storage/filesystem_store.py,Storage operations,DIRECT_WRITE,L4 strict-write via UWG only,CRITICAL,Inject UWG dependency,High,L4 refactor
