violation_id,severity,category,violation_class,evidence,file_path,line_no,proposed_disposition,guardian_justification,owner,tracking_link
318,HIGH,antipattern,hygiene,ImportError,agentic_core/L0_routing/reasoning/assembly_stage.py,456,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
319,HIGH,antipattern,hygiene,ImportError,agentic_core/L0_routing/reasoning/assembly_stage.py,466,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
325,HIGH,antipattern,hygiene,ImportError,agentic_core/L0_routing/reasoning/execution_orchestrator.py,346,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
324,HIGH,antipattern,hygiene,ImportError,agentic_core/L0_routing/reasoning/execution_orchestrator.py,423,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
327,HIGH,antipattern,hygiene,Exception,agentic_core/L0_routing/reasoning/graph_aware_router.py,96,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
328,HIGH,antipattern,hygiene,Exception,agentic_core/L0_routing/reasoning/graph_aware_router.py,188,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
329,HIGH,antipattern,hygiene,Exception,agentic_core/L0_routing/reasoning/graph_aware_router.py,245,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
363,HIGH,antipattern,hygiene,SyntaxError,agentic_core/L1_cognition/enforcement/dark_reasoning_visitor_validator.py,238,review,,,
367,HIGH,antipattern,hygiene,ValueError,agentic_core/L1_cognition/enforcement/truth_keeper_validator.py,239,review,,,
370,HIGH,antipattern,hygiene,RuntimeError,agentic_core/L1_cognition/reasoning/StrategicRecommendationAgent.py,73,review,,,
509,HIGH,antipattern,hygiene,getattr,agentic_core/L2_execution/_agentic_core_smoke.py,29,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
